Repository Name,Annotation Name,Annotation Member Name,Assigned Value (in Our Sample),Wrongly Designed as String Type?
liferay/liferay-portal,com.liferay.dynamic.data.mapping.annotations.DDMFormRule,condition,TRUE,yes
liferay/liferay-portal,Meta.AD,min,0.1,yes 
apache/camel,org.apache.camel.spi.Metadata,required,TRUE,yes
apache/ambari,org.apache.ambari.server.configuration.Configuration.ClusterScale,value,25,yes
spring-projects/spring-boot,org.springframework.integration.config.EnableIntegrationManagement,defaultCountsEnabled,TRUE,yes
prestodb/presto,javax.validation.constraints.DecimalMax,value,1,yes
apache/isis,org.apache.isis.applib.annotation.DomainServiceLayout,menuOrder,1,yes
apache/isis,javax.jdo.annotations.Column,allowsNull,FALSE,yes
apache/phoenix,org.apache.phoenix.parse.FunctionParseNode.Argument,minValue,0,yes
apache/struts,com.opensymphony.xwork2.validator.annotations.IntRangeFieldValidator,min,1,yes
apache/struts,com.opensymphony.xwork2.validator.annotations.StringLengthFieldValidator,minLength,2,yes
spring-projects/spring-batch,org.springframework.integration.annotation.Aggregator,sendPartialResultsOnExpiry,TRUE,yes
eclipse/kura,org.eclipse.kura.demo.bnd.heater.AttributeDefinition,max,40,yes
jbehave/jbehave-core,org.jbehave.core.annotations.UsingEmbedder,storyTimeouts,100,yes
estatio/estatio,javax.jdo.annotations.Persistent,defaultFetchGroup,TRUE,yes
estatio/estatio,javax.jdo.annotations.Persistent,dependentElement,TRUE,yes
estatio/estatio,javax.jdo.annotations.Index,unique,FALSE,yes
openimaj/openimaj,org.openimaj.citation.annotation.Reference,pages,691,yes
openimaj/openimaj,org.openimaj.citation.annotation.Reference,number,1,yes
AgriCraft/AgriCraft,com.agricraft.agricore.config.AgriConfigurable,min,250,yes
mit-cml/appinventor-sources,com.google.appinventor.components.annotations.androidmanifest.ActivityElement,stateNotNeeded,TRUE,yes
P2Pvalue/swellrt,javax.jdo.annotations.PersistenceCapable,detachable,TRUE,yes
mplushnikov/lombok-intellij-plugin,de.plushnikov.intellij.plugin.agent.support.SupportedBuild,max,146.1154,yes
JetBrains/intellij-community,com.intellij.ReviseWhenPortedToJDK,value,9,no
consulo/consulo,consulo.annotations.DeprecationInfo,until,2,no
JetBrains/kotlin,kotlin.SinceKotlin,version,1.1,no
apache/hadoop,javax.ws.rs.DefaultValue,value,1,no
neo4j/neo4j,org.neo4j.procedure.Name,defaultValue,300,no
OpenNMS/opennms,org.opennms.netmgt.bsm.service.model.functions.annotations.Parameter,defaultValue,2,no
apache/camel,org.springframework.boot.autoconfigure.condition.ConditionalOnProperty,havingValue,TRUE,no
graalvm/sulong,com.oracle.truffle.api.dsl.Cached,value,0,no
boy0001/FastAsyncWorldedit,com.sk89q.minecraft.util.commands.Command,aliases,FALSE,no
btraceio/btrace,com.sun.btrace.annotations.Level,value,100,no
vipshop/Saturn,org.springframework.web.bind.annotation.RequestMapping,value,404,no
javaee/glassfish,com.sun.jsftemplating.annotation.Handler,input,TRUE,no
javaee/glassfish,org.glassfish.connectors.config.Attribute,defaultValue,TRUE,no
apache/felix,org.apache.felix.service.command.Parameter,absentValue,FALSE,no
apache/ambari,org.apache.ambari.logsearch.config.api.LogSearchPropertyDescription,examples,10,no
apache/ambari,javax.persistence.NamedQuery,hints,TRUE,no
eucalyptus/eucalyptus,com.eucalyptus.configurable.ConfigurableField,initial,TRUE,no
eucalyptus/eucalyptus,com.amazonaws.services.simpleworkflow.flow.annotations.Execute,version,2,no
SonarSource/sonarqube,org.sonar.api.Property,defaultValue,60,no
graalvm/graal,TruffleLanguage.Registration,version,0.1,no
BroadleafCommerce/BroadleafCommerce,org.hibernate.annotations.GenericGenerator,parameters,150,no
apereo/cas,org.springframework.shell.core.annotation.CliOption,unspecifiedDefaultValue,FALSE,no
openmrs/openmrs-core,org.hibernate.search.annotations.AnalyzerDef,filters,2,no
spring-projects/spring-boot,org.springframework.security.access.prepost.PreAuthorize,value,TRUE,no
bazelbuild/bazel,com.google.devtools.build.lib.skylarkinterface.SkylarkCallable,parameters,TRUE,no
infinispan/infinispan,org.infinispan.configuration.parsing.Namespace,until,9,no
cuba-platform/cuba,com.haulmont.cuba.core.config.defaults.DefaultString,value,8080,no
prestodb/presto,com.facebook.presto.type.Constraint,expression,0,no
jclouds/jclouds,org.jclouds.rest.annotations.FormParams,values,TRUE,no
gwtproject/gwt,com.google.web.bindery.autobean.shared.AutoBean.PropertyName,value,0,no
streamsets/datacollector,com.streamsets.pipeline.api.ConfigDef,triggeredByValue,TRUE,no
liquibase/liquibase,liquibase.change.DatabaseChangeProperty,since,3,no
apache/phoenix,org.apache.phoenix.parse.FunctionParseNode.BuiltInFunction,args,1,no
micdoodle8/Galacticraft,net.minecraftforge.fml.common.API,apiVersion,1,no
